Domain,Type,Sponsoring Organisation,Date
.doosan,generic,Doosan Corporation,2023-10-30
.download,generic,dot Support Limited,2023-10-30
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,2023-10-30
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-10-30
.eat,generic,Charleston Road Registry Inc.,2023-10-30
.education,generic,"Brice Way, LLC",2023-10-30
.email,generic,"Spring Madison, LLC",2023-10-30
.emerck,generic,Merck KGaA,2023-10-30
.energy,generic,"Binky Birch, LLC",2023-10-30
.engineer,generic,United TLD Holdco Ltd.,2023-10-30
.engineering,generic,Romeo Canyon,2023-10-30
.enterprises,generic,"Snow Oaks, LLC",2023-10-30
.epson,generic,Seiko Epson Corporation,2023-10-30
.equipment,generic,"Corn Station, LLC",2023-10-30
.erni,generic,ERNI Group Holding AG,2023-10-30
.esq,generic,Charleston Road Registry Inc.,2023-10-30
.estate,generic,"Trixy Park, LLC",2023-10-30
.eurovision,generic,European Broadcasting Union (EBU),2023-10-30
.eus,generic,Puntueus Fundazioa,2023-10-30
.events,generic,"Pioneer Maple, LLC",2023-10-30
.everbank,generic,EverBank,2023-10-30
.exchange,generic,"Spring Falls, LLC",2023-10-30
.expert,generic,"Magic Pass, LLC",2023-10-30
.exposed,generic,"Victor Beach, LLC",2023-10-30
.express,generic,"Sea Sunset, LLC",2023-10-30
.fail,generic,"Atomic Pipe, LLC",2023-10-30
.faith,generic,dot Faith Limited,2023-10-30
.fan,generic,Asiamix Digital Ltd,2023-10-30
.fans,generic,Asiamix Digital Limited,2023-10-30
.farm,generic,"Just Maple, LLC",2023-10-30
.fashion,generic,Top Level Domain Holdings Limited,2023-10-30
.feedback,generic,"Top Level Spectrum, Inc.",2023-10-30
.film,generic,Motion Picture Domain Registry Pty Ltd,2023-10-30
.finance,generic,"Cotton Cypress, LLC",2023-10-30
.financial,generic,"Just Cover, LLC",2023-10-30
.firmdale,generic,Firmdale Holdings Limited,2023-10-30
.fish,generic,"Fox Woods, LLC",2023-10-30
.fishing,generic,Top Level Domain Holdings Limited,2023-10-30
.fit,generic,Minds + Machines Group Limited,2023-10-30
.fitness,generic,"Brice Orchard, LLC",2023-10-30
.flights,generic,"Fox Station, LLC",2023-10-30
.florist,generic,"Half Cypress, LLC",2023-10-30
.flowers,generic,"Uniregistry, Corp.",2023-10-30
.flsmidth,generic,FLSmidth A/S,2023-10-30
.fly,generic,Charleston Road Registry Inc.,2023-10-30
.foo,generic,Charleston Road Registry Inc.,2023-10-30
.football,generic,"Foggy Farms, LLC",2023-10-30
.forex,generic,DOTFOREX REGISTRY LTD,2023-10-30
.forsale,generic,"United TLD Holdco, LLC",2023-10-30
.foundation,generic,"John Dale, LLC",2023-10-30
.frl,generic,FRLregistry B.V.,2023-10-30
.frogans,generic,OP3FT,2023-10-30
.fund,generic,"John Castle, LLC",2023-10-30
.furniture,generic,"Lone Fields, LLC",2023-10-30
.futbol,generic,"United TLD Holdco, Ltd.",2023-10-30
.gal,generic,Asociación puntoGAL,2023-10-30
.gallery,generic,"Sugar House, LLC",2023-10-30
.garden,generic,Top Level Domain Holdings Limited,2023-10-30
.gbiz,generic,Charleston Road Registry Inc.,2023-10-30
.gdn,generic,"Joint Stock Company ""Navigation-information systems""",2023-10-30
.gent,generic,COMBELL GROUP NV/SA,2023-10-30
.ggee,generic,"GMO Internet, Inc.",2023-10-30
.gift,generic,"Uniregistry, Corp.",2023-10-30
.gifts,generic,"Goose Sky, LLC",2023-10-30
.gives,generic,United TLD Holdco Ltd.,2023-10-30
.glass,generic,"Black Cover, LLC",2023-10-30
.gle,generic,Charleston Road Registry Inc.,2023-10-30
.global,generic,Dot Global Domain Registry Limited,2023-10-30
.globo,generic,Globo Comunicação e Participações S.A,2023-10-30
.gmail,generic,Charleston Road Registry Inc.,2023-10-30
.gmo,generic,"GMO Internet, Inc.",2023-10-30
.gmx,generic,1&1 Mail & Media GmbH,2023-10-30
.gold,generic,"June Edge, LLC",2023-10-30
.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD.",2023-10-30
.golf,generic,"Lone Falls, LLC",2023-10-30
.goo,generic,NTT Resonant Inc.,2023-10-30
.goog,generic,Charleston Road Registry Inc.,2023-10-30
.google,generic,Charleston Road Registry Inc.,2023-10-30
.gop,generic,"Republican State Leadership Committee, Inc.",2023-10-30
.graphics,generic,"Over Madison, LLC",2023-10-30
.gratis,generic,"Pioneer Tigers, LLC",2023-10-30
.green,generic,Afilias Limited,2023-10-30
.gripe,generic,"Corn Sunset, LLC",2023-10-30
.guge,generic,Charleston Road Registry Inc.,2023-10-30
.guide,generic,"Snow Moon, LLC",2023-10-30
.guitars,generic,"Uniregistry, Corp.",2023-10-30
.guru,generic,"Pioneer Cypress, LLC",2023-10-30
.hamburg,generic,Hamburg Top-Level-Domain GmbH,2023-10-30
.hangout,generic,Charleston Road Registry Inc.,2023-10-30
.haus,generic,"United TLD Holdco, LTD.",2023-10-30
.healthcare,generic,"Silver Glen, LLC",2023-10-30
.help,generic,"Uniregistry, Corp.",2023-10-30
.here,generic,Charleston Road Registry Inc.,2023-10-30
.hermes,generic,Hermes International,2023-10-30
.hiphop,generic,"Uniregistry, Corp.",2023-10-30
.hiv,generic,dotHIV gemeinnuetziger e.V.,2023-10-30
.holdings,generic,"John Madison, LLC",2023-10-30
.holiday,generic,"Goose Woods, LLC",2023-10-30
.homes,generic,"DERHomes, LLC",2023-10-30
.horse,generic,Top Level Domain Holdings Limited,2023-10-30
.host,generic,DotHost Inc.,2023-10-30
.hosting,generic,"Uniregistry, Corp.",2023-10-30
.house,generic,"Sugar Park, LLC",2023-10-30
.how,generic,Charleston Road Registry Inc.,2023-10-30
.ibm,generic,International Business Machines Corporation,2023-10-30
.ifm,generic,ifm electronic gmbh,2023-10-30
.immo,generic,"Auburn Bloom, LLC",2023-10-30
.immobilien,generic,United TLD Holdco Ltd.,2023-10-30
.industries,generic,"Outer House, LLC",2023-10-30
.infiniti,generic,"NISSAN MOTOR CO., LTD.",2023-10-30
.info,generic,Afilias Limited,2023-10-30
.ing,generic,Charleston Road Registry Inc.,2023-10-30
.ink,generic,"Top Level Design, LLC",2023-10-30
.institute,generic,"Outer Maple, LLC",2023-10-30
.insure,generic,"Pioneer Willow, LLC",2023-10-30
.international,generic,"Wild Way, LLC",2023-10-30
.investments,generic,"Holly Glen, LLC",2023-10-30
.irish,generic,Dot-Irish LLC,2023-10-30
.iwc,generic,Richemont DNS Inc.,2023-10-30
.java,generic,Oracle Corporation,2023-10-30
.jcb,generic,"JCB Co., Ltd.",2023-10-30
.jetzt,generic,New TLD Company AB,2023-10-30
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,2023-10-30
.juegos,generic,"Uniregistry, Corp.",2023-10-30
.kaufen,generic,United TLD Holdco Ltd.,2023-10-30
.kddi,generic,KDDI CORPORATION,2023-10-30
.kim,generic,Afilias Limited,2023-10-30
.kitchen,generic,"Just Goodbye, LLC",2023-10-30
.kiwi,generic,DOT KIWI LIMITED,2023-10-30
.koeln,generic,NetCologne Gesellschaft für Telekommunikation mbH,2023-10-30
.komatsu,generic,Komatsu Ltd.,2023-10-30
.krd,generic,KRG Department of Information Technology,2023-10-30
.kred,generic,KredTLD Pty Ltd,2023-10-30
